cluster,etiqueta,modelo,trial,cv_wmape_val,wmape_train,wmape_val,wmape_test,r2_train,r2_val,r2_test,gap_r2_train_test,gap_r2_train_val,t_fit_full_s,param_n_estimators,param_max_depth,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_random_state,param_n_jobs,param_early_stopping_rounds
0,Montaña / clima frío,LightGBM,24,0.7836730685598617,0.36967077482639615,0.4403972427909995,0.7250674132255588,0.9849919321065846,0.9911408208488758,0.9927425174035839,-0.007750585296999235,-0.0061488887422911365,0.5240485668182373,800,4,0.05,0.7656304068554334,0.949974380546868,0.0013579628536073674,0.17283891762595438,,42,-1,
0,Montaña / clima frío,LightGBM,21,0.8329958160556732,0.35722250023699387,0.42185403590808396,0.7332776719352693,0.9843984724313765,0.9918709667477437,0.9929504210746812,-0.008551948643304774,-0.007472494316367206,0.7179708480834961,800,4,0.05,0.8494804013853875,0.9049924206541728,0.00420933841113412,0.5628104691672667,,42,-1,
0,Montaña / clima frío,LightGBM,23,0.8338310504677364,0.35223466131926534,0.41381905842695327,0.7188756572404829,0.9857258443246627,0.9919402335688263,0.9932036715674326,-0.007477827242769908,-0.006214389244163621,0.7794971466064453,800,4,0.05,0.7631322815713344,0.9473513773633022,0.0011153806037983906,0.5573454881061127,,42,-1,
0,Montaña / clima frío,LightGBM,19,0.8514712352570518,0.35622773636747534,0.4254063313646101,0.7411108598778184,0.9849458440713814,0.9916874484547268,0.992931933903832,-0.007986089832450638,-0.006741604383345368,0.7514493465423584,800,4,0.05,0.8436246505078268,0.9006712594106268,0.02426910707378844,0.5212523273633876,,42,-1,
0,Montaña / clima frío,LightGBM,12,0.867425660766402,0.3910256953415041,0.4942633712165258,0.7846275251565761,0.9828611342865323,0.9892422911034997,0.9922022582269913,-0.00934112394045894,-0.006381156816967382,0.3352186679840088,800,4,0.1,0.9984665314733004,0.9840480182744019,0.012066634583611699,1.7978878625195325,,42,-1,
0,Montaña / clima frío,LightGBM,22,0.8772618224666757,0.33990446099798466,0.4479741938471911,0.7764477559785465,0.9871300553717509,0.9912862338398739,0.9929073801061904,-0.005777324734439482,-0.004156178468122995,1.190699815750122,800,4,0.05,0.8441058204594936,0.8925125395719383,0.00637167834690734,0.5664030219789065,,42,-1,
0,Montaña / clima frío,LightGBM,5,0.8870646144233204,0.3283051818889603,0.4544072924728872,0.7620720129895524,0.9857205728822181,0.9904125937282987,0.9923619748893401,-0.006641402007121933,-0.004692020846080558,0.9192714691162109,800,4,0.05,0.8628242065769887,0.9130379074390618,0.540448635963212,7.945091518177742,,42,-1,
0,Montaña / clima frío,LightGBM,1,0.8871715705048071,0.3039577501802608,0.5080487999547856,0.8752786080741023,0.9872197725827117,0.9892256013031603,0.9904598317152957,-0.003240059132584072,-0.0020058287204486325,0.7091729640960693,500,6,0.1,0.8738059484782206,0.8267322164426628,0.0022224479206270674,1.1201546799554136,,42,-1,
0,Montaña / clima frío,LightGBM,13,0.8890901171701369,0.37910664731037313,0.4603671654363931,0.7726040292837331,0.9825109494318242,0.9900135013452572,0.9921732531897909,-0.009662303757966728,-0.007502551913433075,0.5911283493041992,800,4,0.05,0.9985335416847722,0.9886009112148083,0.015582024564808748,2.8542759597398097,,42,-1,
0,Montaña / clima frío,LightGBM,18,0.9048842869521883,0.3547402882263949,0.4806998768412417,0.7648710049915021,0.9855194863863083,0.989720367355283,0.9924382151525263,-0.006918728766218019,-0.004200880968974752,0.5219101905822754,800,4,0.1,0.9126296304926735,0.9610854631409839,0.42780161982500403,0.08103896646653294,,42,-1,
0,Montaña / clima frío,LightGBM,10,0.9115380771843073,0.38335131914120696,0.43265469889758595,0.7519219664736799,0.9824421266458466,0.9905985328047804,0.9927081270174342,-0.010266000371587536,-0.00815640615893376,0.6648037433624268,800,4,0.05,0.79436933455902,0.9782619773082479,0.0021516772882840852,0.057998714695728884,,42,-1,
0,Montaña / clima frío,LightGBM,14,0.9127475520247138,0.37821358932014354,0.5022265389776792,0.812339686580487,0.9837794672864221,0.9890457925646144,0.992067769711877,-0.008288302425454974,-0.005266325278192374,0.4549522399902344,800,4,0.1,0.8080330764714889,0.9378399428674036,0.012987673792052437,0.267114100889013,,42,-1,
0,Montaña / clima frío,LightGBM,20,0.9351719661626158,0.3887887972818076,0.7114383262466072,1.0550144814368538,0.9859845036164543,0.9821547537388586,0.9887965398941885,-0.0028120362777341867,0.003829749877595656,0.5490748882293701,300,4,0.05,0.7747001956999573,0.7633693079647629,0.030691057130637536,0.08779954643648101,,42,-1,
0,Montaña / clima frío,LightGBM,11,0.9361358360464482,0.27982596797367265,0.5087523182945245,0.8077520246120073,0.9889784594717378,0.9890954379463545,0.9919347360934052,-0.0029562766216674197,-0.0001169784746166691,0.8824524879455566,500,6,0.1,0.8283984272357041,0.8074416170598407,0.0028872186303969647,9.963225266597131,,42,-1,
